DATE;DOMAINE;EXPEDITEUR;IP;SPF AUTH;SPF;DKIM;NB MAILS;EMETTEUR;DKIM AUTH
07/02/2022;domain.com;bpce-it.fr;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;bpce-it.fr;10.10.10.14;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;bpce-it.fr;10.10.10.14;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;bpce-it.fr;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;Fastmail Pty Ltd;10.10.10.12;pass;pass;pass;3;MyCompany;pass
07/02/2022;domain.com;Fastmail Pty Ltd;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;Mail.Ru;198.24.181.226;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;167.172.190.95;softfail;fail;fail;2;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;185.47.152.80;softfail;fail;fail;5;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;165.22.38.110;softfail;fail;fail;2;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;165.227.173.121;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;107.189.2.3;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;64.227.34.94;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;159.223.43.25;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;167.99.176.92;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;104.236.130.13;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;46.247.246.18;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;Mail.Ru;223.223.219.122;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;165.22.234.254;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;130.185.76.134;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;220.78.50.8;softfail;fail;fail;2;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;139.59.250.171;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;161.35.51.142;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;91.238.229.134;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;138.68.174.216;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;157.245.242.20;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;185.238.248.192;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;188.166.85.121;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;178.128.18.138;softfail;fail;fail;2;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;165.227.75.169;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;159.203.165.238;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;167.99.210.230;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;119.59.125.180;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;157.230.57.233;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;134.122.73.165;softfail;fail;fail;2;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;178.128.68.51;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;85.30.215.242;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;54.37.131.60;softfail;fail;fail;2;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;46.101.131.203;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;104.248.131.234;softfail;fail;fail;3;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;31.130.206.117;softfail;fail;fail;2;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;10.10.10.12;pass;pass;pass;3;MyCompany;pass
07/02/2022;domain.com;Mail.Ru;152.69.200.158;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;83.234.17.253;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;198.52.97.144;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;185.26.112.27;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;165.22.206.82;softfail;fail;fail;2;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;194.126.182.178;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;157.245.199.35;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;77.222.52.224;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Mail.Ru;139.59.254.43;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Portunity GmbH;128.199.31.214;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Netze des Bundes;185.250.237.33;pass pass;fail;fail;1;Inconnu;pass pass
07/02/2022;domain.com;Netze des Bundes;10.10.10.11;none pass;pass;pass;1;MyCompany;none pass
07/02/2022;domain.com;Netze des Bundes;10.10.10.14;none pass;pass;pass;1;MyCompany;none pass
07/02/2022;domain.com;Netze des Bundes;10.10.10.14;none;fail;pass;1;MyCompany;none
07/02/2022;domain.com;vertical.de;10.10.10.11;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;AMAZON-SES;209.85.167.53;pass;fail;pass;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;10.10.10.11;pass;pass;pass;9;MyCompany;pass
07/02/2022;domain.com;Yahoo;10.10.10.11;none;fail;fail;1;MyCompany;none
07/02/2022;domain.com;Yahoo;10.10.10.12;none;fail;pass;1;MyCompany;none
07/02/2022;domain.com;Yahoo;10.10.10.12;pass;pass;pass;6;MyCompany;pass
07/02/2022;domain.com;Yahoo;10.10.10.13;pass;pass;pass;8;MyCompany;pass
07/02/2022;domain.com;Yahoo;10.10.10.13;none;fail;fail;2;MyCompany;none
07/02/2022;domain.com;Yahoo;10.10.10.14;pass;pass;pass;7;MyCompany;pass
07/02/2022;domain.com;Yahoo;10.10.10.14;none;fail;fail;1;MyCompany;none
07/02/2022;domain.com;Yahoo;178.159.36.94;softfail;fail;fail;2;Inconnu;softfail
07/02/2022;domain.com;Yahoo;185.189.236.11;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.189.236.17;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.189.236.23;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.189.239.136;pass;fail;fail;3;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.250.237.25;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.250.237.47;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.250.237.49;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.250.237.5;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.250.237.52;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.250.237.55;pass;fail;fail;2;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.250.237.58;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.41.28.25;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;195.83.17.77;softfail;fail;fail;2;Inconnu;softfail
07/02/2022;domain.com;Yahoo;195.83.17.95;softfail;fail;fail;3;Inconnu;softfail
07/02/2022;domain.com;Yahoo;87.253.233.120;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;87.253.233.121;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;87.253.233.125;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;87.253.233.132;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;87.253.233.133;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;87.253.233.137;pass;fail;fail;2;Inconnu;pass
07/02/2022;domain.com;Yahoo;87.253.233.215;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;87.253.233.217;pass;fail;fail;2;Inconnu;pass
07/02/2022;domain.com;Yahoo;87.253.233.221;pass;fail;fail;2;Inconnu;pass
07/02/2022;domain.com;Yahoo;87.253.233.224;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;87.253.234.123;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;93.17.128.204;softfail;fail;pass;2;Inconnu;softfail
07/02/2022;domain.com;Yahoo;10.10.10.11;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;Yahoo;10.10.10.12;none;fail;pass;1;MyCompany;none
07/02/2022;domain.com;Yahoo;10.10.10.12;pass;pass;pass;2;MyCompany;pass
07/02/2022;domain.com;Yahoo;10.10.10.13;pass;pass;pass;3;MyCompany;pass
07/02/2022;domain.com;Yahoo;10.10.10.14;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;Yahoo;185.250.237.33;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Yahoo;185.250.237.43;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;assemblee-nationale.fr;10.10.10.12;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;assemblee-nationale.fr;10.10.10.14;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;bm-energies.com;10.10.10.12;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;bm-energies.com;10.10.10.13;pass;pass;pass;2;MyCompany;pass
07/02/2022;domain.com;bm-energies.com;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;cnp.fr;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;esa1.hc1079-54.c3s2.iphmx.com;20.212.105.150;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;esa1.hc1193-99.c3s2.iphmx.com;10.10.10.14;pass;pass;pass;2;MyCompany;pass
07/02/2022;domain.com;esa1.hc1193-99.c3s2.iphmx.com;10.10.10.11;pass;pass;pass;2;MyCompany;pass
07/02/2022;domain.com;esa1.hc1193-99.c3s2.iphmx.com;10.10.10.12;pass;pass;pass;2;MyCompany;pass
07/02/2022;domain.com;esa1.hc1193-99.c3s2.iphmx.com;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;esa1.hc419-51.eu.iphmx.com;10.10.10.11;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;esa2.hc1193-99.c3s2.iphmx.com;10.10.10.11;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;esa2.hc1193-99.c3s2.iphmx.com;10.10.10.12;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;esa2.hc1193-99.c3s2.iphmx.com;10.10.10.14;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;esa2.hc1359-70.c3s2.iphmx.com;10.10.10.14;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;esa4.hc726-32.eu.iphmx.com;209.85.167.58;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;esa6.hc898-42.eu.iphmx.com;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;esa8.hc898-42.eu.iphmx.com;10.10.10.14;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;grdf.fr;10.10.10.11;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;grdf.fr;10.10.10.12;pass;pass;pass;2;MyCompany;pass
07/02/2022;domain.com;grdf.fr;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;grdf.fr;10.10.10.12;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;grdf.fr;10.10.10.14;pass;pass;pass;1;MyCompany;pass
07/02/2022;sub.domain.com;groupe-casino.fr;10.10.10.19;pass;pass;pass;1;MyMassMail Solution;pass
07/02/2022;domain.com;icade.fr;10.10.10.12;pass;pass;pass;2;MyCompany;pass
07/02/2022;domain.com;icade.fr;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;mmc.com;10.10.10.11;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;mmc.com;10.10.10.13;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain2.com;Outlook.com;10.10.10.11;pass;pass;pass;1;MyCompany;pass
07/02/2022;domain.com;Outlook.com;87.253.233.124;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Outlook.com;10.10.10.12;pass;pass;pass;9;MyCompany;pass
07/02/2022;domain.com;Outlook.com;80.12.242.129;none;fail;fail;1;Inconnu;none
07/02/2022;domain.com;Outlook.com;185.250.237.42;pass;fail;fail;2;Inconnu;pass
07/02/2022;domain.com;Outlook.com;87.253.233.221;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Outlook.com;209.85.216.43;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Outlook.com;217.70.183.201;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Outlook.com;185.250.237.7;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Outlook.com;185.250.237.29;pass;fail;fail;3;Inconnu;pass
07/02/2022;domain.com;Outlook.com;10.10.10.11;pass;pass;pass;47;MyCompany;pass
07/02/2022;domain.com;Outlook.com;10.10.10.11;pass;pass;pass;10;MyCompany;pass
07/02/2022;domain.com;Outlook.com;185.250.237.25;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Outlook.com;87.253.233.222;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Outlook.com;193.49.117.20;softfail;fail;pass;1;Inconnu;softfail
07/02/2022;domain.com;Outlook.com;185.189.236.24;pass;fail;fail;2;Inconnu;pass
07/02/2022;domain.com;Outlook.com;10.10.10.14;pass;pass;pass;3;MyCompany;pass
07/02/2022;domain.com;Outlook.com;10.10.10.12;pass;pass;fail;1;MyCompany;pass
07/02/2022;domain.com;Outlook.com;185.189.236.23;pass;fail;fail;8;Inconnu;pass
07/02/2022;domain.com;Outlook.com;185.250.237.36;pass;fail;fail;8;Inconnu;pass
07/02/2022;domain.com;Outlook.com;10.10.10.11;pass;pass;pass;7;MyCompany;pass
07/02/2022;domain.com;Outlook.com;149.202.190.255;pass;pass;pass;1;test.com;pass
07/02/2022;domain.com;Outlook.com;185.41.28.25;pass;fail;fail;2;Inconnu;pass
07/02/2022;domain.com;Outlook.com;10.10.10.12;pass;pass;pass;10;MyCompany;pass
07/02/2022;domain.com;Outlook.com;80.74.64.73;pass;pass;fail;1;test2.com;pass
07/02/2022;domain.com;Outlook.com;185.237.98.207;softfail;fail;fail;1;Inconnu;softfail
07/02/2022;domain.com;Outlook.com;10.10.10.14;pass;pass;fail;1;MyCompany;pass
07/02/2022;domain.com;Outlook.com;10.10.10.13;pass;pass;fail;1;MyCompany;pass
07/02/2022;domain.com;Outlook.com;87.253.233.134;pass;fail;fail;7;Inconnu;pass
07/02/2022;domain.com;Outlook.com;185.237.98.207;softfail;fail;fail;13;Inconnu;softfail
07/02/2022;domain.com;Outlook.com;87.253.233.218;pass;fail;fail;5;Inconnu;pass
07/02/2022;domain.com;Outlook.com;185.250.237.38;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Outlook.com;87.253.233.133;pass;fail;fail;1;Inconnu;pass
07/02/2022;domain.com;Outlook.com;10.10.10.11;pass;pass;pass;59;MyCompany;pass
07/02/2022;domain.com;Outlook.com;212.227.17.10;pass;fail;pass;1;Inconnu;pass
